# Orion Hilux enhanced aluminium mirror coating transmission
# Source: https://www.orionoptics.co.uk/OPTICS/opticalcoatingsh.html
# Wavelength(nm) Throughput(0-1)
400.309995815057 0.771476510067114
403.365314568253 0.786241610738255
406.14349706279 0.801006711409396
408.644543298665 0.815771812080537
411.700172047677 0.831208053691275
414.757040779949 0.849328859060403
417.534293287041 0.862080536912752
420.031929568951 0.869463087248322
424.195483360975 0.883557046979866
429.468512175086 0.899664429530201
434.463164747276 0.913087248322148
440.010229861897 0.92248322147651
445.833191251918 0.929194630872483
451.102190120433 0.936577181208054
460.251096610196 0.943959731543624
467.181363051599 0.947986577181208
474.666212006138 0.952684563758389
480.487313421269 0.955369127516778
488.803261155974 0.959395973154362
494.901188833951 0.961409395973154
500.444533998791 0.962751677852349
507.373250461119 0.963422818791946
515.687338220934 0.963422818791946
520.399274609793 0.964765100671141
528.991428615714 0.966778523489933
537.305516375529 0.966778523489933
540.631151479455 0.966778523489933
551.439465567215 0.966778523489933
560.307825844351 0.966778523489933
572.502286219136 0.967785234899329
580.261946463723 0.96744966442953
589.129996745044 0.966778523489933
599.937690841174 0.965436241610738
611.577413704915 0.965436241610738
620.445153990421 0.964093959731544
628.481485499946 0.962751677852349
638.735217074569 0.962080536912752
647.048839840662 0.961073825503356
654.530278841235 0.958389261744967
661.458220314026 0.95738255033557
670.048204349241 0.954697986577181
680.300695940605 0.951342281879195
690.553497527783 0.948657718120805
699.974425345258 0.94496644295302
