,GOTO_B,GOTO_B_noatm,GOTO_G,GOTO_G_noatm,GOTO_L,GOTO_L_noatm,GOTO_R,GOTO_R_noatm,atm,atmosphere,corrector,filter_B,filter_C,filter_G,filter_L,filter_R,lens1,lens2,lens3,lens_coating,mirror,ota,qe,window
300,-2.6161742825330465e-16,-7.72972727515757e-15,1.781692068955345e-15,5.264172908236701e-14,1.4799520258160592e-15,4.372654228830258e-14,2.6686560057128524e-15,7.884789347978435e-14,0.0338456220951174,-3.265812913530115,1.487178282321068e-06,-4.561665624750001e-07,7.459451444e-06,3.1066292177500003e-06,2.5805032667425e-06,4.6531748465e-06,0.00089196122,0.053618026183916,0.0784,0.9131999999999977,0.28671949904108907,8.069031829095364e-08,0.21000000000000008,0.66
301,-1.949431525596793e-14,-4.2317696279280486e-13,1.5599726592132009e-15,3.386343573999414e-14,-5.593579652993452e-16,-1.2142381087064603e-14,2.990441760934298e-14,6.491564567334731e-13,0.0460665796344701,-3.2645908177761798,1.895551874597469e-05,-1.9032268390999998e-06,1.221852959e-05,1.5229987790250014e-07,-5.4610027500000084e-08,2.91956344475e-06,0.005570884377,0.0763953944127708,0.09656999999999999,0.9139999999999977,0.2915520883268047,1.048807061782814e-06,0.21200000000000008,0.65092
302,-9.912408172828247e-14,-1.6624887982575762e-12,-1.8371790795362865e-14,-3.081279126998237e-13,-4.711620202140909e-14,-7.902232909632506e-13,-2.999148551395984e-15,-5.0301105282104404e-14,0.0596239095458403,-3.2633687220222445,5.908231027878437e-05,-2.33211096205e-06,1.534065581e-05,-4.3223658630000013e-07,-1.108511769375e-06,-7.056153350000007e-08,0.010249807533999998,0.09917276264162558,0.11474,0.9147999999999977,0.29638467761252035,3.3311619260883694e-06,0.21400000000000008,0.6418400000000001
303,-1.5590250626941022e-13,-1.916916615586019e-12,-5.78244350005623e-15,-7.10986775593617e-14,8.995996099445479e-15,1.106112711682405e-13,2.599513193645952e-13,3.1962603761635165e-12,0.081329831982154,-3.262146626268309,0.0001308043325316,-1.18175812525e-06,2.381801605e-05,-4.383155699999992e-08,6.81906387500002e-08,1.9704595594999997e-06,0.014928730690999998,0.1219501308704804,0.13291,0.9155999999999977,0.30121726689823597,7.509670355910574e-06,0.21600000000000008,0.63276
304,-4.880087007254765e-13,-5.1511974919875266e-12,-3.673775027959757e-13,-3.877869530198883e-12,2.4878984855204645e-13,2.626112284449182e-12,-2.2001598244597034e-13,-2.3223884641565117e-12,0.0947369425234722,-3.260924530514374,0.0002432418117251,-1.6629044695e-06,2.860824578e-05,-1.2518499987499995e-06,8.477589651749996e-07,-7.497111424999999e-07,0.019607653848,0.1447274990993352,0.15108,0.9163999999999978,0.30604985618395164,1.4209683554838004e-05,0.21800000000000005,0.62368
305,-7.59399984945751e-13,-6.195571392516112e-12,4.201331983352622e-13,3.4276603585107997e-12,2.641109935023804e-13,2.1547518412306138e-12,6.125529867329872e-13,4.997518878373836e-12,0.1225714202669122,-3.2597024347604386,0.0004057004109547,-1.168606459e-06,5.005080253e-05,6.465240702499998e-07,4.06428521225e-07,9.426302225000003e-07,0.024286577004999997,0.16750486732818998,0.16924999999999998,0.9171999999999978,0.31088244546966726,2.409852173151518e-05,0.22000000000000006,0.6146
306,-6.827472679689941e-12,-4.8292372214675426e-11,2.849911699769106e-13,2.015811751156772e-12,-2.6136149164710896e-12,-1.848673298210571e-11,-1.1318408118254558e-12,-8.005784912920015e-12,0.141377869145454,-3.2584803390065034,0.0006276732343577,-5.742128868132499e-06,6.572955288e-05,2.396869385000001e-07,-2.19813602575e-06,-9.51915314e-07,0.028965500162,0.1902822355570448,0.18741999999999998,0.9179999999999978,0.3157150347553829,3.788372103271195e-05,0.22200000000000006,0.6055200000000001
307,-1.0358254273549724e-11,-6.283358604144408e-11,3.1731836119708295e-12,1.9248659112105578e-11,-7.1740135845257074e-12,-4.351785425627599e-11,3.314171453637326e-13,2.0103897016698306e-12,0.1648521901442578,-3.257258243252568,0.0009188428452069,-4.981391832699999e-06,9.823380969e-05,1.5260168857499998e-06,-3.450057484e-06,1.5938194000000004e-07,0.033644423319,0.21305960378589958,0.20559,0.9187999999999978,0.32054762404109854,5.6310984954203337e-05,0.22400000000000006,0.5964400000000001
308,-7.229267853501394e-12,-3.835935902148781e-11,-1.9767828992099024e-12,-1.0489046259588223e-11,-2.4056932711312237e-12,-1.2764895941461771e-11,-5.6468113691873726e-12,-2.996265583552372e-11,0.1884616437269394,-3.256036147498633,0.0012890832979941,-2.11736278037e-06,0.0001232756488,-5.789751632500002e-07,-7.045976849249999e-07,-1.65388092725e-06,0.038323346476,0.23583697201475437,0.22376,0.9195999999999979,0.32538021332681416,8.016183086800521e-05,0.22600000000000006,0.58736
309,-3.932914498747444e-12,-1.9166159488856985e-11,-1.6683849543979229e-12,-8.130492573633085e-12,-1.7446125413569065e-11,-8.501970288079178e-11,3.3009296884634715e-12,1.608632602888848e-11,0.2052009689804575,-3.2548140517446975,0.0017484621845665,-7.624616772499998e-07,0.0001651138067,-3.23444506875e-07,-3.38222507725e-06,6.399407837500001e-07,0.043002269632999995,0.25861434024360913,0.24192999999999998,0.9203999999999979,0.33021280261252983,0.0001102509221505,0.22800000000000006,0.57828
