,sky_bright,sky_dark,sky_grey
401,1.5200187899079046e-16,6.487992843368402e-18,9.274264289963772e-17
402,1.5755401087040246e-16,6.464639763875667e-18,9.603350703115499e-17
403,1.5081792710031727e-16,5.789425652422607e-18,9.161476837413093e-17
404,1.5058290689285882e-16,6.464460664356196e-18,9.141209526408417e-17
405,1.459959938980877e-16,7.066430964039802e-18,8.837543309001853e-17
406,1.4240797827559402e-16,6.710537087926052e-18,8.609466934415826e-17
407,1.423840665713154e-16,7.519229871599759e-18,8.505501494925575e-17
408,1.4617425512096414e-16,7.019828931891016e-18,8.755673444331828e-17
409,1.5622652516605617e-16,6.527685889004316e-18,9.361953851584507e-17
410,1.3581274093821287e-16,5.807456100443088e-18,8.137778325335374e-17
411,1.474466473374575e-16,5.5890144471270245e-18,8.673844732792194e-17
412,1.5746290933561582e-16,5.9188775447344195e-18,9.31831310754202e-17
413,1.504876846716603e-16,6.4931371360108014e-18,8.898937742687667e-17
414,1.5216370807128438e-16,6.436290860785081e-18,8.966206885341716e-17
415,1.496868006827113e-16,5.849914306245921e-18,8.762138527919756e-17
416,1.542686531238139e-16,7.092743183686787e-18,9.002245389285047e-17
417,1.5197783109239112e-16,8.103557945442906e-18,8.914184027115904e-17
418,1.4512244674607674e-16,7.222372476334707e-18,8.443639425447284e-17
419,1.4708840196129747e-16,6.351413971923882e-18,8.54903669978402e-17
420,1.4256067009353622e-16,5.842471229126075e-18,8.250372206228113e-17
421,1.5312505539419861e-16,5.894923165116117e-18,8.840030247591457e-17
422,1.4825061359081515e-16,5.66704513407367e-18,8.602560661861034e-17
423,1.3815452523750436e-16,5.409657663503429e-18,7.941340519902917e-17
424,1.4465038842884156e-16,5.45885766330106e-18,8.310129372753627e-17
425,1.4336057349127455e-16,6.0985644781151885e-18,8.226443134301099e-17
426,1.4263847873462972e-16,6.201942751792507e-18,8.11244386122676e-17
427,1.3754390414059422e-16,6.115513117949065e-18,7.84219226641219e-17
428,1.3743223358204115e-16,6.046383416311759e-18,7.80302876052429e-17
429,1.3190654532938082e-16,5.941156767533468e-18,7.510802695702417e-17
430,1.1270350729097895e-16,5.76370193508223e-18,6.43169421635157e-17
431,1.0744774193365511e-16,5.820998568172189e-18,6.013656147711825e-17
432,1.4362125091384574e-16,6.635583756847508e-18,8.090114038255852e-17
433,1.4169152553927558e-16,6.034461000801235e-18,7.93703778329748e-17
434,1.329545320003022e-16,5.871501746459323e-18,7.476494076250906e-17
435,1.4246764850850695e-16,6.1182035799479375e-18,7.952845761469108e-17
436,1.5065000843140468e-16,6.171474116937705e-18,8.3930438473112e-17
437,1.5139017567863963e-16,6.217528087226679e-18,8.471961056712058e-17
438,1.3828971432706864e-16,6.315722041337655e-18,7.685324875084671e-17
439,1.3479092439444786e-16,6.113519098112509e-18,7.439476140569844e-17
440,1.4411469399971814e-16,6.7155855000811e-18,7.996262136441958e-17
441,1.4738740752429054e-16,8.176634926393715e-18,8.116626580942541e-17
442,1.556040412610617e-16,8.22210539571064e-18,8.550723962852505e-17
443,1.5482036627538328e-16,7.779607339492353e-18,8.516360729496741e-17
444,1.5404837039021733e-16,7.36354950658228e-18,8.436173074446846e-17
445,1.5461732991743727e-16,7.106426176145787e-18,8.494461716298515e-17
446,1.449911417847468e-16,6.505114455253689e-18,7.914951895057776e-17
447,1.5567520457213515e-16,6.594342153867971e-18,8.447033042071459e-17
448,1.5886729554410268e-16,6.68881993988068e-18,8.651565522462064e-17
449,1.5808275679835572e-16,6.8089926103701335e-18,8.573979227044148e-17
450,1.6256790383781395e-16,6.8961615035986185e-18,8.749306533059515e-17
451,1.6778056795099063e-16,6.996001284252735e-18,9.03829495369772e-17
452,1.6140718638114956e-16,7.080550043693276e-18,8.708472039501193e-17
453,1.4927480686538843e-16,7.559731785420364e-18,8.040920756364094e-17
454,1.566339634835761e-16,7.958340370275674e-18,8.376339883490909e-17
455,1.5427214493082047e-16,7.780169459725307e-18,8.251219538874214e-17
456,1.5857708133981442e-16,7.347621099878534e-18,8.445344027214939e-17
457,1.5983851941409431e-16,7.089721154009699e-18,8.495865725416583e-17
458,1.563533905855986e-16,7.351491204135539e-18,8.351013402462263e-17
459,1.5403523865181818e-16,7.263672634930735e-18,8.182974018319601e-17
460,1.5303343655989404e-16,6.920540026997438e-18,8.094610259817311e-17
461,1.572120845187013e-16,7.032174633122094e-18,8.316995262956816e-17
462,1.5800277735130862e-16,7.035266333413807e-18,8.33671413379516e-17
463,1.574574964624348e-16,7.017961345515956e-18,8.323005830722624e-17
464,1.5290735910593425e-16,6.861485802580664e-18,8.077385306505209e-17
465,1.4975018055572168e-16,6.7708176877249e-18,7.878145857614725e-17
466,1.5284580075082558e-16,7.522746174687391e-18,8.030849293637238e-17
467,1.4590156340628852e-16,7.474090981839578e-18,7.645556188056891e-17
468,1.493941094447829e-16,7.58325405124655e-18,7.811229542348083e-17
469,1.4974039022930079e-16,7.418897340478348e-18,7.810402191321596e-17
470,1.4460192199291444e-16,7.093832416953598e-18,7.54996992581901e-17
471,1.4348864431110714e-16,7.149460870020605e-18,7.458121180263837e-17
472,1.5166192326176564e-16,7.221987251730876e-18,7.863751261123578e-17
473,1.4707141987709277e-16,6.948299117845368e-18,7.62166055776368e-17
474,1.4738954001226072e-16,6.8882098836083395e-18,7.643376837749901e-17
475,1.4831875857587162e-16,6.869897187691001e-18,7.690783099634939e-17
476,1.4360437744987468e-16,6.79739966552647e-18,7.444305253403833e-17
477,1.4389112430034514e-16,6.831577514993432e-18,7.461551140213232e-17
478,1.486053061170743e-16,6.999965582192748e-18,7.692483833346237e-17
479,1.4564290421365756e-16,7.04472979893912e-18,7.495457049069444e-17
480,1.4774984738882858e-16,7.210704683966534e-18,7.618464556242712e-17
481,1.462299291082874e-16,7.292288809225999e-18,7.515232499475616e-17
482,1.4798310188193276e-16,8.070686287111866e-18,7.603694584558929e-17
483,1.4488418050000949e-16,8.302678706425973e-18,7.422692568477262e-17
484,1.4234314047981778e-16,8.257146910847713e-18,7.285750792501021e-17
485,1.3918033415915867e-16,7.702055031951842e-18,7.132027421169298e-17
486,1.1895665134488712e-16,7.012897245112746e-18,6.067120163792027e-17
487,1.2510200210176624e-16,7.028879324117224e-18,6.358925353085206e-17
488,1.344978227896929e-16,7.408828773190332e-18,6.84779572589358e-17
489,1.3260166428680752e-16,7.651836604852692e-18,6.755044046285907e-17
490,1.40817796790087e-16,7.567753787159253e-18,7.144554803361694e-17
491,1.3726444473447972e-16,7.451637769224475e-18,6.963769689013556e-17
492,1.2996487733302423e-16,7.192233090052304e-18,6.585135215073435e-17
493,1.353018481276628e-16,7.423131006325933e-18,6.848807097102784e-17
494,1.341280118930385e-16,7.437070330868302e-18,6.7863812486078e-17
495,1.3839562580954355e-16,7.52008104592727e-18,7.000750571442879e-17
496,1.3425323516699897e-16,7.438928224859843e-18,6.775291245825193e-17
497,1.3683554836958796e-16,7.789427599783736e-18,6.939090926375208e-17
498,1.3078519648965622e-16,7.411591838004762e-18,6.579701039845827e-17
499,1.303598938682097e-16,7.457888164955407e-18,6.54208049490796e-17
500,1.292222638735403e-16,7.484674241816179e-18,6.494298200276345e-17
501,1.2403215304673514e-16,7.32300964441646e-18,6.233550885964601e-17
502,1.2281970861172924e-16,7.161387140922944e-18,6.195851561657198e-17
503,1.271186651087827e-16,7.144343036831848e-18,6.42275117603668e-17
504,1.2214256283598565e-16,7.027243502897787e-18,6.205769662968169e-17
505,1.2602594635675962e-16,7.007251213404343e-18,6.363963003108714e-17
506,1.292071468743234e-16,7.093388735772063e-18,6.512857338362087e-17
507,1.2515121679841733e-16,6.993423729831728e-18,6.289899466043397e-17
508,1.2161523930659182e-16,6.866215047830876e-18,6.09544497124517e-17
509,1.263431767052418e-16,7.043289348024715e-18,6.321557869844104e-17
510,1.2373080990627481e-16,7.003219902944941e-18,6.17445093206072e-17
511,1.2421561367117367e-16,6.964621226059876e-18,6.182319472459626e-17
512,1.2493310701385724e-16,6.992670671235076e-18,6.209764989950922e-17
513,1.2006037673407498e-16,7.14388728599289e-18,5.965724501846205e-17
514,1.1840739308464334e-16,7.648519359395912e-18,5.879737996512777e-17
515,1.1890191868923037e-16,7.60201600041345e-18,5.888269562526369e-17
516,1.1807974175625394e-16,7.458639894617446e-18,5.84781808335462e-17
517,1.0131315113999579e-16,6.834637241902781e-18,5.023444447253987e-17
518,1.0718100697211693e-16,6.846664631384637e-18,5.301723329910349e-17
519,1.0896984204368706e-16,7.626842455493406e-18,5.466912337390469e-17
520,1.1669482047493344e-16,1.0330048419946565e-17,6.423218694984124e-17
521,1.1548523268286444e-16,7.801817830756104e-18,5.765808999291938e-17
522,1.1743931099827157e-16,7.75848603776969e-18,5.81698885912846e-17
523,1.1262206137163243e-16,7.718558974575524e-18,5.589372731677564e-17
524,1.1862566529562317e-16,7.902935361128188e-18,5.882123786744655e-17
525,1.1756553237433073e-16,7.650931247377591e-18,5.824765783797518e-17
526,1.1323519475520696e-16,7.760423264808274e-18,5.642445376795285e-17
527,1.0355834773096232e-16,7.06612234777241e-18,5.163103095112108e-17
528,1.1238629153661544e-16,7.586205492453789e-18,5.584015783051813e-17
529,1.1709671786332048e-16,7.350486748581816e-18,5.79757122995243e-17
530,1.1442965860544137e-16,7.772362589759282e-18,5.68129183057148e-17
531,1.1788421796219186e-16,7.878304237014456e-18,5.85164417410763e-17
532,1.13941047942621e-16,7.945417094141929e-18,5.662608511511768e-17
533,1.0912388720921494e-16,8.076567571649884e-18,5.527774387793115e-17
534,1.126180979459259e-16,7.757150761851525e-18,5.574350077237018e-17
535,1.1363648885617533e-16,7.746924616328068e-18,5.608236396411233e-17
536,1.1539983122223002e-16,7.570768619225561e-18,5.6744478613526e-17
537,1.0915328349957022e-16,7.461583760742221e-18,5.360435530940344e-17
538,1.1236802925538786e-16,7.531629945467006e-18,5.5226417823555994e-17
539,1.1002818430757172e-16,7.380553412376996e-18,5.406834732046321e-17
540,1.0583937827350054e-16,7.168543262427819e-18,5.2044923842319934e-17
541,1.0466476446501728e-16,7.146073767789899e-18,5.1554150203928685e-17
542,1.0794792717255694e-16,7.330175020114854e-18,5.320057168784736e-17
543,1.05978887394832e-16,7.295607487788826e-18,5.231807796498005e-17
544,1.0804803001839707e-16,7.455931504642354e-18,5.3613813151953184e-17
545,1.0715798731017401e-16,7.404053524839123e-18,5.2836781335831474e-17
546,1.0693907963391867e-16,7.551093529525576e-18,5.2723481809168545e-17
547,1.0639260485195197e-16,7.516764728969574e-18,5.237187399151824e-17
548,1.0428654820382173e-16,7.494650857582693e-18,5.13228315756755e-17
549,1.066091099932182e-16,7.628723658362197e-18,5.243209281064368e-17
550,1.0580406927047776e-16,7.845122947830685e-18,5.2024564787764175e-17
551,1.0469831823432792e-16,7.918192111391299e-18,5.1556346157425754e-17
552,1.0575786546267525e-16,7.957538822557066e-18,5.196805531597587e-17
553,1.0342493517929677e-16,7.850442022220741e-18,5.0862136127944464e-17
554,1.0506185221609888e-16,8.766627270617464e-18,5.215063682258699e-17
555,1.0549769070761937e-16,9.039167970590129e-18,5.2375476492422633e-17
556,1.0365294108773509e-16,8.856717646231203e-18,5.140824359464798e-17
557,1.1595549204649721e-16,3.2306060892985586e-17,7.003600255391432e-17
558,1.7385981672105861e-16,1.507087883623996e-16,1.4569455956168056e-16
559,9.804563856270351e-17,9.936925838547671e-18,4.9236153513843563e-17
560,9.831351601854233e-17,8.860728840756988e-18,4.91536795003877e-17
561,1.0089994686302649e-16,8.990822123540719e-18,5.045485329822836e-17
562,9.77461169688226e-17,8.836175775624932e-18,4.903825141979052e-17
563,9.924821861233268e-17,8.615173847652294e-18,4.954703169155344e-17
564,9.78382931604986e-17,8.388298451712344e-18,4.8814378447972343e-17
565,9.784679921454332e-17,8.461163571559913e-18,4.889461367671421e-17
566,9.455475352557494e-17,7.971308484902529e-18,4.7129076248476384e-17
567,9.701588268115357e-17,8.435983926051679e-18,4.8531709997983126e-17
568,9.592788476983956e-17,8.332153609393811e-18,4.7970865865052935e-17
569,9.398731855303369e-17,8.57340841127489e-18,4.7271981167281885e-17
570,9.384692006299837e-17,8.72278298270633e-18,4.736401384461573e-17
571,9.051300723279926e-17,8.45209608901403e-18,4.559031852204951e-17
572,9.341161804304703e-17,8.55583299140196e-18,4.713820039735707e-17
573,9.40125602672555e-17,8.492007320276186e-18,4.744139301288427e-17
574,9.325670519047652e-17,8.264420020792979e-18,4.6925568544470884e-17
575,9.106675378860382e-17,8.139482023741006e-18,4.588541889130192e-17
576,9.017107202877768e-17,8.155650115447626e-18,4.5306932597782965e-17
577,9.141152021267967e-17,8.231338226315296e-18,4.577642953045506e-17
578,8.953893078347457e-17,8.063346400903192e-18,4.473500799960554e-17
579,8.927380093181429e-17,8.087429012735548e-18,4.4503978419570425e-17
580,9.114019177180341e-17,8.24561562117444e-18,4.534056280797852e-17
581,9.132300541831621e-17,8.266316929186623e-18,4.534142710119479e-17
582,9.240187600297484e-17,8.287739901618255e-18,4.5676984846761844e-17
583,9.306083257325451e-17,8.40412492597364e-18,4.591356658076447e-17
584,9.288650315015092e-17,8.382830942016064e-18,4.56109398913131e-17
585,9.162224985256509e-17,8.278654676880459e-18,4.490943063132542e-17
586,8.975119989341652e-17,9.438687156318762e-18,4.485697428642483e-17
587,9.289452061638685e-17,1.3384961798056361e-17,4.8447603627257314e-17
588,8.959867453703745e-17,1.002937655040745e-17,4.554300035740271e-17
589,9.54736232079761e-17,3.414087241284131e-17,6.550588965701643e-17
590,9.085706400459587e-17,2.2530180357242395e-17,5.493831873966088e-17
591,8.72813545741631e-17,1.1611040024113042e-17,4.578353990789421e-17
592,8.653261745624978e-17,1.2436402368924988e-17,4.611524561793084e-17
593,8.756175735084128e-17,1.3196131492178146e-17,4.662793227434523e-17
594,8.627566640572205e-17,1.1643780109673592e-17,4.5261391727758283e-17
595,8.509316018307942e-17,1.2678398922471944e-17,4.537678017488925e-17
596,8.639422823396443e-17,1.1187820386616569e-17,4.4841308736561487e-17
597,8.569366575920108e-17,1.029423935684084e-17,4.396182752075637e-17
598,8.472812104574729e-17,1.0907418667587158e-17,4.360658946571084e-17
599,8.379311424326525e-17,8.759552571291349e-18,4.197453269783119e-17
600,8.428973949290178e-17,9.782322674240093e-18,4.25196653412356e-17
601,8.309106865091249e-17,9.15007257214111e-18,4.1407303843314384e-17
602,8.166512041982669e-17,8.13145568456013e-18,4.015422866774843e-17
603,8.322883852891762e-17,8.759008493805758e-18,4.101574358471138e-17
604,8.39770285667389e-17,8.424106623281305e-18,4.0995513837094436e-17
605,8.329433652871038e-17,7.852615194252238e-18,4.038717785942429e-17
606,8.256222464490883e-17,7.969154177561147e-18,3.996133477337432e-17
607,8.259649930569776e-17,8.069174151046837e-18,3.985617415177656e-17
608,8.166436971673578e-17,7.536101701191621e-18,3.909576511219041e-17
609,8.090301153372254e-17,7.49751332655332e-18,3.867787496271191e-17
610,8.017007389636015e-17,7.840811383955266e-18,3.8498856620884513e-17
611,8.012475306190902e-17,7.699005750426333e-18,3.8372958904309216e-17
612,7.96263420447735e-17,7.345759738601788e-18,3.782513645516495e-17
613,7.918604359941075e-17,7.419009395023489e-18,3.754276865015957e-17
614,7.863189678437661e-17,9.165931994894575e-18,3.821596219438702e-17
615,7.958059099809367e-17,8.491708540195497e-18,3.8732477657106956e-17
616,7.695018718999629e-17,7.551578431936557e-18,3.914962109146408e-17
617,7.690580843324049e-17,8.862173989056266e-18,3.734612510206382e-17
618,7.885228597822771e-17,8.221880024276219e-18,3.7582387111583096e-17
619,7.806308746760941e-17,7.78721929037317e-18,3.6849873940222105e-17
620,7.896336302920595e-17,8.556557912662516e-18,3.7861916774798783e-17
621,7.867178375108241e-17,8.478973269141012e-18,3.752965787074974e-17
622,7.749677349825125e-17,8.94658369027985e-18,3.726182520956211e-17
623,7.775398637429982e-17,1.1514917726536712e-17,3.8750138775814716e-17
624,7.941703998233518e-17,1.735987612398159e-17,4.246600176445668e-17
625,7.50035880523169e-17,9.899501057517348e-18,3.6705706064958554e-17
626,7.735700248219085e-17,1.465911551571844e-17,4.0138003864528e-17
627,7.611962893946603e-17,1.0523478951664336e-17,3.770603457340219e-17
628,7.145727912107778e-17,9.411111235015122e-18,3.577346224149965e-17
629,7.492623603735218e-17,1.2966231917978071e-17,4.042582067543083e-17
630,8.977946297072787e-17,8.701217419187798e-17,2.6751146647031467e-16
631,7.880628038977488e-17,2.855079894586699e-17,8.5322191032227e-17
632,7.21228738570586e-17,9.424773370967406e-18,3.5251529953233936e-17
633,7.55700750026774e-17,1.3120739420360385e-17,3.836391764258355e-17
634,7.272878082941553e-17,8.048987047447387e-18,3.422138870596612e-17
635,7.42066081124257e-17,1.0094166563374785e-17,3.5869008418871436e-17
636,7.806142790302172e-17,3.010141941429815e-17,9.579135767303427e-17
637,7.768089044827429e-17,2.686025199634705e-17,9.300758479500535e-17
638,7.417768307499749e-17,8.691170664419749e-18,3.4661843987302586e-17
639,7.384593567961725e-17,9.020898412481322e-18,3.4551919013562935e-17
640,7.190306217459685e-17,6.955182456381004e-18,3.2580506070089225e-17
641,7.184036787807578e-17,7.148720809776225e-18,3.250824777932523e-17
642,7.207263385381442e-17,7.97422482242259e-18,3.29395645860714e-17
643,7.219055096783721e-17,6.866051074434677e-18,3.237368562683284e-17
644,7.154467319361977e-17,6.598122372971321e-18,3.188668153476411e-17
645,7.15978341093915e-17,7.250525778910444e-18,3.260163752063909e-17
646,7.111927315786427e-17,1.0057112888436933e-17,3.4582280953070353e-17
647,7.19794211574771e-17,1.4130425982971586e-17,3.7110137413443254e-17
648,6.894712776104865e-17,8.368291005918814e-18,3.2476269781997284e-17
649,6.77609205046352e-17,6.926392106365226e-18,3.0999299608899004e-17
650,7.119840170647266e-17,1.398269279042913e-17,3.65148005827972e-17
651,7.122857643570863e-17,8.955909688351167e-18,3.319712033341345e-17
652,6.87669652659613e-17,8.302858293391892e-18,3.2209411586745355e-17
653,7.214094800992049e-17,1.1763934642469267e-17,3.521479157638322e-17
654,7.154844599350134e-17,1.1517846463155552e-17,3.4592731806546564e-17
655,6.993879817297411e-17,1.2947903901060913e-17,3.5105943671704226e-17
656,6.624358779653673e-17,1.1843937868574601e-17,3.1728124531157455e-17
657,6.565617963569134e-17,9.939613126036517e-18,3.03526759019069e-17
658,6.98000332957349e-17,1.1014249267998928e-17,3.3434543356258214e-17
659,6.828374069713326e-17,6.783722873036216e-18,3.008202359651697e-17
660,6.907710077073406e-17,9.542033341400525e-18,3.201954428468573e-17
661,6.909399907143665e-17,8.393513287351479e-18,3.11012474331094e-17
662,6.886967856577429e-17,6.319362575131425e-18,2.9734078724844973e-17
663,6.860159677773156e-17,7.778084320330822e-18,3.052388351706702e-17
664,6.806015648175339e-17,7.29057781232448e-18,2.9920673607752765e-17
665,6.821796785800157e-17,6.233493125840351e-18,2.927226611172968e-17
666,6.803648185613663e-17,6.563427057484891e-18,2.940128046655738e-17
667,6.793603760644628e-17,6.8377111664155315e-18,2.945788341726789e-17
668,6.741322749992145e-17,6.07165896982094e-18,2.870428915709444e-17
669,6.793955233079075e-17,6.219280988118376e-18,2.8975678945937734e-17
670,6.74455586532993e-17,6.723859671690789e-18,2.891099285219453e-17
671,6.698096801359588e-17,6.557888942697274e-18,2.866526276638316e-17
672,6.638793050437696e-17,6.237422957622549e-18,2.816692223417989e-17
673,6.700917777100623e-17,6.162780936638969e-18,2.839260513135859e-17
674,6.69452932912115e-17,6.400810520339881e-18,2.8453686493136096e-17
675,6.603244688744601e-17,6.311315793907908e-18,2.8073348303370474e-17
676,6.582380137330709e-17,5.9581058349627444e-18,2.7704131561011365e-17
677,6.540111096431252e-17,5.869308295224022e-18,2.7624212949609287e-17
678,6.543664156743172e-17,5.956252262014313e-18,2.758070514849926e-17
679,6.485041843592447e-17,6.100480801215709e-18,2.7301288441889725e-17
680,6.482755912005208e-17,5.861631126580495e-18,2.7304873446130908e-17
681,6.461230067549355e-17,5.868846041883055e-18,2.7169153848955218e-17
682,6.495314215516765e-17,6.887667244415985e-18,2.790156625350288e-17
683,7.14376325914845e-17,2.4183992871905135e-17,4.064153432893741e-17
684,6.782494758179787e-17,1.6676907549882467e-17,3.4770214649521827e-17
685,6.357218118756229e-17,7.340324269637033e-18,2.7499164749523587e-17
686,6.801905224086448e-17,1.8276319005066382e-17,3.601350851860131e-17
687,5.4682230099763986e-17,1.8747430784318456e-17,3.269262301941933e-17
